stage,imputer,missing_rate,replicate,fold,rmse,mae,corr_frobenius,corr_frobenius_rel,corr_mae_offdiag,corr_rv,n_masked_test_values,n_eligible_cells,n_artificially_masked_cells,n_legacy_imputed_cells_in_cohort,n_legacy_imputed_cells_in_metric_target,target_cell_policy,n_train,n_test,degenerate_constant_preds,seed
imputation,SimpleMean,0.0,0,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,SimpleMean,0.0,0,2,,,5.427699092677351e-15,2.7908973982272053e-16,7.051142018621901e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,SimpleMean,0.0,0,3,,,5.597709237002379e-15,2.8431838904997343e-16,6.86116435244125e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,SimpleMean,0.0,0,4,,,6.240621949104495e-15,3.2261714621074946e-16,7.961119539961469e-17,1.0,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,SimpleMean,0.0,0,5,,,6.225571433348475e-15,3.2286832331060133e-16,7.928429738132285e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,"KNN(k=5,dist)",0.0,0,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,"KNN(k=5,dist)",0.0,0,2,,,5.427699092677351e-15,2.7908973982272053e-16,7.051142018621901e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,"KNN(k=5,dist)",0.0,0,3,,,5.597709237002379e-15,2.8431838904997343e-16,6.86116435244125e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,"KNN(k=5,dist)",0.0,0,4,,,6.240621949104495e-15,3.2261714621074946e-16,7.961119539961469e-17,1.0,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,"KNN(k=5,dist)",0.0,0,5,,,6.225571433348475e-15,3.2286832331060133e-16,7.928429738132285e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,RFECA_SVR(k=5),0.0,0,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,RFECA_SVR(k=5),0.0,0,2,,,5.427699092677351e-15,2.7908973982272053e-16,7.051142018621901e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,RFECA_SVR(k=5),0.0,0,3,,,5.597709237002379e-15,2.8431838904997343e-16,6.86116435244125e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,RFECA_SVR(k=5),0.0,0,4,,,6.240621949104495e-15,3.2261714621074946e-16,7.961119539961469e-17,1.0,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,RFECA_SVR(k=5),0.0,0,5,,,6.225571433348475e-15,3.2286832331060133e-16,7.928429738132285e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,RFECA_SVR(k=10),0.0,0,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,RFECA_SVR(k=10),0.0,0,2,,,5.427699092677351e-15,2.7908973982272053e-16,7.051142018621901e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,RFECA_SVR(k=10),0.0,0,3,,,5.597709237002379e-15,2.8431838904997343e-16,6.86116435244125e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,RFECA_SVR(k=10),0.0,0,4,,,6.240621949104495e-15,3.2261714621074946e-16,7.961119539961469e-17,1.0,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,RFECA_SVR(k=10),0.0,0,5,,,6.225571433348475e-15,3.2286832331060133e-16,7.928429738132285e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,RFECA_SVR(k=20),0.0,0,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,RFECA_SVR(k=20),0.0,0,2,,,5.427699092677351e-15,2.7908973982272053e-16,7.051142018621901e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,RFECA_SVR(k=20),0.0,0,3,,,5.597709237002379e-15,2.8431838904997343e-16,6.86116435244125e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,RFECA_SVR(k=20),0.0,0,4,,,6.240621949104495e-15,3.2261714621074946e-16,7.961119539961469e-17,1.0,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,RFECA_SVR(k=20),0.0,0,5,,,6.225571433348475e-15,3.2286832331060133e-16,7.928429738132285e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,MissForest,0.0,0,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,MissForest,0.0,0,2,,,5.427699092677351e-15,2.7908973982272053e-16,7.051142018621901e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,MissForest,0.0,0,3,,,5.597709237002379e-15,2.8431838904997343e-16,6.86116435244125e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18042
imputation,MissForest,0.0,0,4,,,6.240621949104495e-15,3.2261714621074946e-16,7.961119539961469e-17,1.0,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,MissForest,0.0,0,5,,,6.225571433348475e-15,3.2286832331060133e-16,7.928429738132285e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1287,321,False,18042
imputation,SimpleMean,0.0,1,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,SimpleMean,0.0,1,2,,,5.427699092677351e-15,2.7908973982272053e-16,7.051142018621901e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,SimpleMean,0.0,1,3,,,5.597709237002379e-15,2.8431838904997343e-16,6.86116435244125e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,SimpleMean,0.0,1,4,,,6.240621949104495e-15,3.2261714621074946e-16,7.961119539961469e-17,1.0,0,80400,0,0,0,originally_observed_only,1287,321,False,18043
imputation,SimpleMean,0.0,1,5,,,6.225571433348475e-15,3.2286832331060133e-16,7.928429738132285e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1287,321,False,18043
imputation,"KNN(k=5,dist)",0.0,1,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,"KNN(k=5,dist)",0.0,1,2,,,5.427699092677351e-15,2.7908973982272053e-16,7.051142018621901e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,"KNN(k=5,dist)",0.0,1,3,,,5.597709237002379e-15,2.8431838904997343e-16,6.86116435244125e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,"KNN(k=5,dist)",0.0,1,4,,,6.240621949104495e-15,3.2261714621074946e-16,7.961119539961469e-17,1.0,0,80400,0,0,0,originally_observed_only,1287,321,False,18043
imputation,"KNN(k=5,dist)",0.0,1,5,,,6.225571433348475e-15,3.2286832331060133e-16,7.928429738132285e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1287,321,False,18043
imputation,RFECA_SVR(k=5),0.0,1,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,RFECA_SVR(k=5),0.0,1,2,,,5.427699092677351e-15,2.7908973982272053e-16,7.051142018621901e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,RFECA_SVR(k=5),0.0,1,3,,,5.597709237002379e-15,2.8431838904997343e-16,6.86116435244125e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,RFECA_SVR(k=5),0.0,1,4,,,6.240621949104495e-15,3.2261714621074946e-16,7.961119539961469e-17,1.0,0,80400,0,0,0,originally_observed_only,1287,321,False,18043
imputation,RFECA_SVR(k=5),0.0,1,5,,,6.225571433348475e-15,3.2286832331060133e-16,7.928429738132285e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1287,321,False,18043
imputation,RFECA_SVR(k=10),0.0,1,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,RFECA_SVR(k=10),0.0,1,2,,,5.427699092677351e-15,2.7908973982272053e-16,7.051142018621901e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,RFECA_SVR(k=10),0.0,1,3,,,5.597709237002379e-15,2.8431838904997343e-16,6.86116435244125e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,RFECA_SVR(k=10),0.0,1,4,,,6.240621949104495e-15,3.2261714621074946e-16,7.961119539961469e-17,1.0,0,80400,0,0,0,originally_observed_only,1287,321,False,18043
imputation,RFECA_SVR(k=10),0.0,1,5,,,6.225571433348475e-15,3.2286832331060133e-16,7.928429738132285e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1287,321,False,18043
imputation,RFECA_SVR(k=20),0.0,1,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,RFECA_SVR(k=20),0.0,1,2,,,5.427699092677351e-15,2.7908973982272053e-16,7.051142018621901e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,RFECA_SVR(k=20),0.0,1,3,,,5.597709237002379e-15,2.8431838904997343e-16,6.86116435244125e-17,1.0,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
imputation,RFECA_SVR(k=20),0.0,1,4,,,6.240621949104495e-15,3.2261714621074946e-16,7.961119539961469e-17,1.0,0,80400,0,0,0,originally_observed_only,1287,321,False,18043
imputation,RFECA_SVR(k=20),0.0,1,5,,,6.225571433348475e-15,3.2286832331060133e-16,7.928429738132285e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1287,321,False,18043
imputation,MissForest,0.0,1,1,,,5.723572058187916e-15,3.0768953435493874e-16,7.352501544107985e-17,1.0000000000000002,0,80400,0,0,0,originally_observed_only,1286,322,False,18043
